"Date","Price","Open","High","Low","Vol.","Change %"
"01/09/2024","87.26","87.00","87.61","86.58","3.82M","-0.67%"
"01/08/2024","87.85","86.56","87.95","86.36","5.37M","1.43%"
"01/05/2024","86.61","86.20","87.37","85.70","3.81M","-0.25%"
"01/04/2024","86.83","86.82","87.42","86.45","5.61M","-0.18%"
"01/03/2024","86.99","88.42","88.42","86.82","5.16M","-2.39%"
"01/02/2024","89.12","88.05","89.26","87.68","6.06M","0.86%"
"12/29/2023","88.36","89.10","89.17","88.26","5.33M","-1.19%"
"12/28/2023","89.42","88.68","89.42","88.56","3.88M","0.71%"
"12/27/2023","88.79","88.53","88.90","88.13","5.38M","0.49%"
"12/26/2023","88.36","87.68","88.60","87.58","4.34M","0.74%"
"12/22/2023","87.71","87.71","88.41","87.27","5.10M","0.39%"
"12/21/2023","87.37","87.35","87.58","86.43","4.43M","-0.34%"
"12/20/2023","87.67","88.84","89.46","87.61","6.07M","-1.22%"
"12/19/2023","88.75","88.50","89.00","88.42","5.79M","0.76%"
"12/18/2023","88.08","88.70","88.77","87.98","6.35M","-0.23%"
"12/15/2023","88.28","89.33","89.38","87.64","7.67M","-1.41%"
"12/14/2023","89.54","88.65","90.09","88.64","6.92M","2.88%"
"12/13/2023","87.03","83.94","87.33","83.71","5.65M","3.83%"
"12/12/2023","83.82","83.86","84.13","83.38","3.16M","-0.06%"
"12/11/2023","83.87","83.36","84.01","83.24","3.14M","0.27%"
"12/08/2023","83.64","83.49","83.85","82.79","3.42M","-0.17%"
"12/07/2023","83.78","83.59","84.04","83.21","6.63M","0.29%"
"12/06/2023","83.54","84.21","84.78","83.48","4.40M","-0.30%"
"12/05/2023","83.79","83.90","84.04","83.36","6.15M","-0.66%"
"12/04/2023","84.35","83.38","84.37","83.19","6.74M","0.73%"
"12/01/2023","83.74","81.66","83.75","81.42","7.18M","2.46%"
"11/30/2023","81.73","81.08","81.78","80.79","4.12M","0.73%"
"11/29/2023","81.14","81.16","81.93","81.04","4.61M","0.69%"
"11/28/2023","80.58","79.84","80.65","79.43","5.81M","0.66%"
"11/27/2023","80.05","79.80","80.49","79.43","5.79M","0.36%"
"11/24/2023","79.76","79.34","79.82","78.97","1.89M","0.29%"
"11/22/2023","79.53","79.86","80.09","79.17","5.28M","0.49%"
"11/21/2023","79.14","79.36","79.43","78.94","3.70M","-0.70%"
"11/20/2023","79.70","79.03","79.70","78.39","4.23M","0.73%"
"11/17/2023","79.12","79.86","79.88","78.79","4.38M","-0.08%"
"11/16/2023","79.18","79.50","79.74","78.93","4.88M","-0.21%"
"11/15/2023","79.35","79.05","80.07","78.98","6.03M","0.29%"
"11/14/2023","79.12","77.40","79.81","77.25","7.49M","5.55%"
"11/13/2023","74.96","75.03","75.28","74.51","3.79M","-0.83%"
"11/10/2023","75.59","75.27","75.75","74.69","3.94M","0.93%"
"11/09/2023","74.89","76.35","76.40","74.72","4.92M","-1.58%"
"11/08/2023","76.09","76.06","76.38","75.76","4.40M","0.33%"
"11/07/2023","75.84","76.37","76.53","75.73","5.24M","-0.82%"
"11/06/2023","76.47","77.43","77.48","76.08","4.43M","-1.44%"
"11/03/2023","77.59","77.04","78.61","77.02","6.39M","2.39%"
"11/02/2023","75.78","74.60","75.99","74.43","6.45M","3.28%"
"11/01/2023","73.37","73.02","73.43","72.54","7.02M","0.62%"
"10/31/2023","72.92","72.27","73.00","71.58","5.96M","1.70%"
"10/30/2023","71.70","71.68","72.23","70.61","7.04M","0.63%"
"10/27/2023","71.25","72.68","72.68","71.00","12.04M","-1.60%"
"10/26/2023","72.41","71.41","72.90","71.36","8.14M","1.91%"
"10/25/2023","71.05","71.87","72.14","70.95","6.25M","-2.15%"
"10/24/2023","72.61","71.98","72.81","71.96","5.76M","1.28%"
"10/23/2023","71.69","71.73","72.69","71.49","6.91M","-0.98%"
"10/20/2023","72.40","73.00","73.46","72.35","5.87M","-0.67%"
"10/19/2023","72.89","74.01","74.65","72.74","8.24M","-2.37%"
"10/18/2023","74.66","75.71","75.97","74.60","4.85M","-2.12%"
"10/17/2023","76.28","75.68","77.28","75.68","5.42M","-0.14%"
"10/16/2023","76.39","76.02","76.60","75.25","4.38M","1.19%"
"10/13/2023","75.49","76.04","76.26","75.15","5.86M","-0.25%"
"10/12/2023","75.68","76.56","76.65","75.29","4.43M","-1.46%"
"10/11/2023","76.80","76.10","76.85","75.95","6.13M","1.74%"
"10/10/2023","75.49","75.15","76.15","74.80","4.59M","0.48%"
"10/09/2023","75.13","73.84","75.41","73.76","3.85M","1.09%"
"10/06/2023","74.32","73.46","74.78","72.75","5.92M","0.27%"
"10/05/2023","74.12","73.55","74.21","73.24","5.31M","0.56%"
"10/04/2023","73.71","73.21","73.72","72.34","8.75M","1.22%"
"10/03/2023","72.82","73.86","74.15","72.59","7.12M","-1.95%"
"10/02/2023","74.27","75.41","75.70","73.80","7.56M","-1.84%"
"09/29/2023","75.66","76.44","76.77","75.21","6.63M","0.29%"
"09/28/2023","75.44","75.00","75.75","74.85","6.66M","-0.01%"
"09/27/2023","75.45","76.23","76.64","75.05","6.66M","-0.67%"
"09/26/2023","75.96","76.91","77.07","75.69","5.22M","-1.82%"
"09/25/2023","77.37","77.13","77.43","76.79","3.93M","-0.09%"
"09/22/2023","77.44","78.06","78.49","77.38","5.06M","-0.76%"
"09/21/2023","78.03","80.18","80.30","78.00","6.20M","-3.40%"
"09/20/2023","80.78","81.37","81.78","80.76","3.83M","0.09%"
"09/19/2023","80.71","80.94","81.31","80.48","2.74M","-0.46%"
"09/18/2023","81.08","81.81","81.81","80.87","3.12M","-0.89%"
"09/15/2023","81.81","81.71","82.07","81.49","3.78M","-0.38%"
"09/14/2023","82.12","81.12","82.30","81.12","3.93M","1.81%"
"09/13/2023","80.66","81.54","81.62","80.46","3.99M","-1.09%"
"09/12/2023","81.55","81.42","81.72","81.01","2.96M","-0.05%"
"09/11/2023","81.59","81.69","81.84","81.18","2.81M","0.01%"
"09/08/2023","81.58","81.96","82.18","81.39","3.32M","-0.39%"
"09/07/2023","81.90","81.13","82.26","81.13","5.06M","0.63%"
"09/06/2023","81.39","81.45","81.72","80.78","3.68M","-0.21%"
"09/05/2023","81.56","82.28","82.45","81.53","3.58M","-1.16%"
"09/01/2023","82.52","82.90","83.17","82.29","3.40M","0.17%"
"08/31/2023","82.38","83.00","83.13","82.38","3.41M","-0.74%"
"08/30/2023","82.99","82.71","83.21","82.62","3.04M","0.36%"
"08/29/2023","82.69","81.67","82.71","81.38","3.52M","1.21%"
"08/28/2023","81.70","81.27","82.14","81.27","3.45M","0.94%"
"08/25/2023","80.94","80.99","81.50","80.59","4.25M","0.07%"
"08/24/2023","80.88","81.42","82.31","80.81","4.52M","-0.38%"
"08/23/2023","81.19","80.20","81.29","80.20","3.26M","1.58%"
"08/22/2023","79.93","79.98","80.25","79.68","3.38M","0.29%"
"08/21/2023","79.70","80.25","80.28","79.04","3.79M","-0.92%"
"08/18/2023","80.44","79.62","80.61","79.50","3.31M","0.31%"
"08/17/2023","80.19","80.92","81.44","80.16","4.07M","-0.80%"
"08/16/2023","80.84","81.91","81.97","80.79","3.70M","-1.23%"
"08/15/2023","81.85","82.13","82.40","81.67","3.40M","-1.12%"
"08/14/2023","82.78","83.19","83.19","82.53","3.38M","-0.66%"
"08/11/2023","83.33","82.89","83.45","82.63","3.65M","0.16%"
"08/10/2023","83.20","83.70","84.39","82.97","4.45M","-0.38%"
"08/09/2023","83.52","83.26","83.98","82.96","2.96M","-0.01%"
"08/08/2023","83.53","83.40","83.73","82.73","3.85M","-0.64%"
"08/07/2023","84.07","83.25","84.11","83.09","3.91M","1.25%"
"08/04/2023","83.03","83.49","84.23","82.74","5.15M","-0.81%"
"08/03/2023","83.71","83.81","83.83","82.59","6.45M","-1.09%"
"08/02/2023","84.63","84.41","84.82","84.09","4.15M","-0.58%"
"08/01/2023","85.12","85.04","85.42","84.67","4.64M","-0.16%"
"07/31/2023","85.26","84.94","85.74","84.67","6.12M","0.65%"
"07/28/2023","84.71","85.79","86.00","84.55","5.03M","-0.08%"
"07/27/2023","84.78","87.11","87.32","84.71","8.01M","-2.17%"
"07/26/2023","86.66","86.13","86.84","86.09","7.38M","0.45%"
"07/25/2023","86.27","86.57","87.17","86.18","4.97M","-0.71%"
"07/24/2023","86.89","86.21","86.97","86.15","4.99M","0.82%"
"07/21/2023","86.18","86.01","86.42","85.80","4.77M","0.47%"
"07/20/2023","85.78","85.73","85.82","84.71","5.67M","-0.33%"
"07/19/2023","86.06","85.60","86.45","85.58","5.36M","1.13%"
"07/18/2023","85.10","85.71","85.83","84.38","4.61M","-0.55%"
"07/17/2023","85.57","85.91","86.22","85.41","5.61M","-0.65%"
"07/14/2023","86.13","85.98","86.19","85.58","5.62M","-0.20%"
"07/13/2023","86.30","85.74","86.32","85.26","5.07M","0.64%"
"07/12/2023","85.75","86.44","86.55","85.67","5.36M","0.54%"
"07/11/2023","85.29","84.32","85.33","84.12","4.04M","1.43%"
"07/10/2023","84.09","83.47","84.15","83.24","3.86M","0.43%"
"07/07/2023","83.73","83.50","84.27","83.32","5.87M","-0.23%"
"07/06/2023","83.92","83.46","84.01","82.36","5.61M","-0.77%"
"07/05/2023","84.57","84.20","85.10","83.43","5.77M","0.23%"
"07/03/2023","84.38","83.43","84.75","83.13","3.63M","0.98%"
"06/30/2023","83.56","83.81","84.01","82.39","5.76M","0.55%"
"06/29/2023","83.10","81.94","83.13","81.66","5.03M","-0.01%"
"06/28/2023","83.11","82.91","83.28","82.37","4.69M","0.14%"
"06/27/2023","82.99","82.31","83.21","81.74","3.85M","1.23%"
"06/26/2023","81.98","80.13","82.10","80.02","3.25M","2.31%"
"06/23/2023","80.13","80.76","81.45","80.10","3.96M","-1.38%"
"06/22/2023","81.25","82.54","82.61","80.76","5.11M","-1.43%"
"06/21/2023","82.43","82.47","82.73","81.83","4.69M","-0.60%"
"06/20/2023","82.93","83.62","83.72","82.47","3.83M","-1.18%"
"06/16/2023","83.92","84.16","84.68","83.74","4.58M","-0.07%"
"06/15/2023","83.98","83.23","84.11","82.68","4.66M","0.53%"
"06/14/2023","83.54","83.57","84.13","82.85","5.04M","0.37%"
"06/13/2023","83.23","82.60","83.33","82.35","3.69M","0.64%"
