Date,Price,Open,High,Low,Vol.,Change %
7/11/2023,101.88,100.84,103.6,100.24,2.01M,-0.74%
7/10/2023,102.64,103.76,105.08,102.42,1.71M,-0.66%
7/7/2023,103.32,107.16,107.44,102,2.05M,-2.57%
7/6/2023,106.04,105.04,115.6,105.04,3.92M,5.74%
7/5/2023,100.28,101.04,101.04,99.34,1.49M,1.33%
7/3/2023,98.96,99.64,100.4,98.84,714.24K,-1.04%
06/30/2023,100.00,99.92,100.76,98.68,1.52M,-1.46%
06/29/2023,101.48,99.8,101.98,99.64,1.86M,2.17%
06/28/2023,99.32,102.24,102.4,99.24,1.62M,-3.65%
06/27/2023,103.08,104.8,104.84,100.94,1.67M,-2.50%
06/26/2023,105.72,106.04,106.2,103.44,1.47M,-0.19%
06/23/2023,105.92,107.12,108.44,104.4,1.92M,1.26%
06/22/2023,104.60,108.32,108.52,103.84,1.46M,-2.39%
06/21/2023,107.16,108.16,109.1,106.74,1.90M,-2.05%
06/20/2023,109.40,110.08,112.02,109.32,1.61M,0.18%
06/16/2023,109.20,113.36,113.88,109.12,1.89M,-3.53%
06/15/2023,113.20,109.28,113.32,109.12,1.50M,2.65%
06/14/2023,110.28,113.24,113.56,110.08,2.51M,-2.99%
06/13/2023,113.68,112.4,114.28,111.76,1.44M,-0.25%
6/12/2023,113.96,113.88,115.6,113.2,1.26M,0.46%
6/9/2023,113.44,112.52,114.96,111.89,1.79M,0.53%
6/8/2023,112.84,116,116.52,111.56,1.70M,-2.42%
6/7/2023,115.64,115.8,117.56,114.92,1.88M,0.45%
6/6/2023,115.12,121.76,122.12,114.84,1.73M,-5.98%
6/5/2023,122.44,124.88,125.36,122.12,1.48M,-1.83%
6/2/2023,124.72,126.72,127.6,123.4,2.31M,-4.03%
6/1/2023,129.96,135.68,136.32,129.72,2.12M,-5.72%
05/31/2023,137.84,139.76,141.92,136.52,1.53M,-0.78%
05/30/2023,138.92,137.48,143.44,136.4,1.76M,-2.58%
05/26/2023,142.60,144.92,145.2,138.86,1.70M,-3.83%
05/25/2023,148.28,147.64,151.08,146.72,1.26M,-2.34%
05/24/2023,151.84,149.76,153.34,149.44,2.02M,4.03%
05/23/2023,145.96,145.2,148.2,141.68,1.31M,1.90%
05/22/2023,143.24,143.4,146.56,140.92,1.39M,0.11%
05/19/2023,143.08,138.52,146.32,137.68,2.27M,2.49%
05/18/2023,139.60,144.92,145.48,139.52,1.60M,-4.02%
05/17/2023,145.44,146.6,148.6,144.64,1.91M,-3.32%
05/16/2023,150.44,147.32,150.52,146.04,1.55M,3.04%
05/15/2023,146.00,148.56,150.56,146,1.24M,-2.69%
5/12/2023,150.04,148.16,153.72,147.32,1.89M,0.11%
5/11/2023,149.88,153.16,156.8,149.4,1.56M,-0.98%
5/10/2023,151.36,151,158.16,149.2,1.83M,-3.05%
